"Self-driving cars will be beneficial for society.","Self-driving cars have no obligation to protect anyone outside the vehicle.","Self-driving cars are, generally, ready for widespread public use.","Self-driving cars are safer than human-operated cars.","I trust AI and machines.","I would feel safe inside a self-driving car."
5,1,1,1,1,1
7,1,3,4,7,4
7,1, 3, 5, 5,6
5,3,1,5,5,6
1,1,1,6,8,8
1,1,1, 5, 3,1
7,5,3,5,4,5
6,1,4,3,2,2
3,10,5,4,8,3
5,1,3,2,4,1
